KuNr;Name;Vorname 1;Vorname 2;Geb.Dat.;Geb.Ort;Strasse;HNr;PLZ;Ort;Tel priv;Tel Arbeit;Mobil;Fax;eMail 1;eMail 2;Prio Kontakt;FamStand;Anz Kinder;Anz Kinder MV;Ehepart MV
K00428;Zimmermann 43;Toni;Paul;19.09.1972;London;Im Tal;64;63502;Neustadt;06353/39771;06362/10356;0175/579428;;Zimmermann43@dhbw.tst;Toni@dhbw.vgl;M;eingetr. Partnerschaft;0;0;J
K00427;Zöller 43;Jürgen;;09.09.1972;Duisburg;Auf der Höhe;55;63502;Neustadt;06353/62305;06362/82029;0175/579427;;Zöller43@dhbw.tst;Jürgen@dhbw.vgl;L;ledig;0;0;N
K00426;Musterfrau 43;Kristijan;;30.08.1972;Würzburg;Severinstr.;71;63502;Neustadt;06353/91257;06362/96915;0175/579426;;Musterfrau43@dhbw.tst;Kristijan@dhbw.vgl;G;eingetr. Partnerschaft;1;0;N
K00425;Mueller 43;Christian;Clara;20.08.1972;Köln;Kanzlerweg;17;63502;Neustadt;06353/81396;06362/19073;0175/579425;;Mueller43@dhbw.tst;Christian@dhbw.vgl;P;ledig;2;1;N
K00424;Meier 43;Karl-Heinz;Herrmann;10.08.1972;München;Kreuzberger Str.;1;63502;Neustadt;06353/79756;;0175/579424;06353/90190;Meier43@dhbw.tst;Karl-Heinz@dhbw.vgl;O;verheiratet;1;0;N
K00423;Meyer 43;Hugo;;31.07.1972;Fulda;Im Gewann;27;63501;Versicherungsstadt;06352/26742;;0175/579423;;Meyer43@dhbw.tst;Hugo@dhbw.vgl;N;geschieden;1;0;N
K00422;Maier 43;Martina;;21.07.1972;London;Berliner Strasse;84;63501;Versicherungsstadt;06352/86056;;0175/579422;;Maier43@dhbw.tst;Martina@dhbw.vgl;M;geschieden;2;1;N
K00421;Müller 43;Thomas;;11.07.1972;Moskau;Musterstrasse;40;63500;Musterdorff;06351/25029;;0175/579421;;Müller43@dhbw.tst;Thomas@dhbw.vgl;L;verwitwet;2;1;N
K00420;Dietrich 42;Norbert;;01.07.1972;Hanau;Kurze Strasse;28;63500;Musterdorff;06351/73158;;0175/579420;;Dietrich42@dhbw.tst;Norbert@dhbw.vgl;G;verheiratet;2;1;J
K00419;Otto 42;Erika;Egon;21.06.1972;Wien;Lange Strasse;80;63500;Musterdorff;06351/19271;;0175/579419;;Otto42@dhbw.tst;Erika@dhbw.vgl;P;eingetr. Partnerschaft;1;0;N
K00418;Zimmermann 42;Walter;;11.06.1972;Leipzig;Kreuzweg;73;63505;Mosbach;06356/50017;;0175/579418;06356/23522;Zimmermann42@dhbw.tst;Walter@dhbw.vgl;O;verheiratet;1;0;N
K00417;Zöller 42;Egon;;01.06.1972;Duisburg;Im Tal;81;63504;Mittelstadt;06355/90228;06364/25673;0175/579417;;Zöller42@dhbw.tst;Egon@dhbw.vgl;N;verwitwet;1;0;N
K00416;Musterfrau 42;Christine;;22.05.1972;Wolfsburg;Auf der Höhe;39;63504;Mittelstadt;06355/29824;06364/77155;0175/579416;;Musterfrau42@dhbw.tst;Christine@dhbw.vgl;M;verwitwet;2;1;N
K00415;Mueller 42;Holger;;12.05.1972;Dortmund;Severinstr.;46;63504;Mittelstadt;06355/77953;06364/807;0175/579415;;Mueller42@dhbw.tst;Holger@dhbw.vgl;L;verheiratet;4;3;J
K00414;Meier 42;Marcus;Maria;02.05.1972;Freiburg;Kanzlerweg;70;63504;Mittelstadt;06355/17189;06364/37025;0175/579414;;Meier42@dhbw.tst;Marcus@dhbw.vgl;G;ledig;1;0;N
K00413;Meyer 42;Hartwigk;;22.04.1972;Wien;Kreuzberger Str.;66;63504;Mittelstadt;06355/49443;06364/49181;0175/579413;;Meyer42@dhbw.tst;Hartwigk@dhbw.vgl;P;verwitwet;0;0;N
K00412;Maier 42;Tina;;12.04.1972;München;Im Gewann;44;63503;Altstadt;06354/88351;06363/21302;0175/579412;06354/54056;Maier42@dhbw.tst;Tina@dhbw.vgl;O;geschieden;2;1;N
K00411;Müller 42;Tom;;02.04.1972;Magdeburg;Berliner Strasse;98;63503;Altstadt;06354/58532;06363/20186;0175/579411;;Müller42@dhbw.tst;Tom@dhbw.vgl;N;verheiratet;5;4;N
K00410;Dietrich 41;Wolfgang;;23.03.1972;Freiburg;Musterstrasse;15;63503;Altstadt;06354/95639;06363/58143;0175/579410;;Dietrich41@dhbw.tst;Wolfgang@dhbw.vgl;M;ledig;2;1;N
K00409;Otto 41;Alfred;Putinowitsch;13.03.1972;Duisburg;Kurze Strasse;77;63502;Neustadt;06353/24146;06362/74564;0175/579409;;Otto41@dhbw.tst;Alfred@dhbw.vgl;L;verheiratet;2;1;J
K00408;Zimmermann 41;Ernst;;03.03.1972;München;Lange Strasse;36;63502;Neustadt;06353/24099;06362/25405;0175/579408;;Zimmermann41@dhbw.tst;Ernst@dhbw.vgl;G;eingetr. Partnerschaft;0;0;J
K00407;Zöller 41;Markus;;22.02.1972;Kiel;Kreuzweg;17;63502;Neustadt;06353/67696;06362/26732;0175/579407;;Zöller41@dhbw.tst;Markus@dhbw.vgl;P;verheiratet;5;4;N
K00406;Musterfrau 41;Christiane;;12.02.1972;Würzburg;Im Tal;47;63502;Neustadt;06353/94082;06362/57499;0175/579406;06353/7667;Musterfrau41@dhbw.tst;Christiane@dhbw.vgl;O;eingetr. Partnerschaft;0;0;J
K00405;Mueller 41;Torsten;Paul;02.02.1972;München;Auf der Höhe;56;63502;Neustadt;06353/90060;06362/67717;0175/579405;;Mueller41@dhbw.tst;Torsten@dhbw.vgl;N;verheiratet;4;3;J
K00404;Meier 41;Michael;;23.01.1972;München;Severinstr.;42;63501;Versicherungsstadt;06352/76921;06361/83084;0175/579404;;Meier41@dhbw.tst;Michael@dhbw.vgl;M;eingetr. Partnerschaft;1;0;N
K00403;Meyer 41;Anne;;13.01.1972;Berlin;Kanzlerweg;36;63501;Versicherungsstadt;06352/40982;06361/21436;0175/579403;;Meyer41@dhbw.tst;Anne@dhbw.vgl;L;verheiratet;2;1;J
K00402;Maier 41;Sabine;Clara;03.01.1972;Freiburg;Kreuzberger Str.;93;63500;Musterdorff;06351/18411;06360/38356;0175/579402;;Maier41@dhbw.tst;Sabine@dhbw.vgl;G;verwitwet;2;1;N
K00401;Müller 41;Johann;Herrmann;24.12.1971;Wolfsburg;Im Gewann;16;63500;Musterdorff;06351/18243;06360/58233;0175/579401;;Müller41@dhbw.tst;Johann@dhbw.vgl;P;ledig;0;0;N
K00400;Dietrich 40;Sebastian;;14.12.1971;Erfurt;Berliner Strasse;98;63500;Musterdorff;06351/58238;06360/54315;0175/579400;;Dietrich40@dhbw.tst;Sebastian@dhbw.vgl;O;geschieden;2;1;N
K00399;Otto 40;Thomas;;04.12.1971;Wien;Musterstrasse;11;63505;Mosbach;06356/30285;06365/29661;0175/579399;;Otto40@dhbw.tst;Thomas@dhbw.vgl;N;geschieden;1;0;N
K00398;Zimmermann 40;Kristijan;;24.11.1971;Hanau;Kurze Strasse;80;63504;Mittelstadt;06355/18241;06364/33958;0175/579398;;Zimmermann40@dhbw.tst;Kristijan@dhbw.vgl;M;verwitwet;2;1;N
K00397;Zöller 40;Karla;;14.11.1971;Obersdorf;Lange Strasse;20;63504;Mittelstadt;06355/25736;06364/37517;0175/579397;;Zöller40@dhbw.tst;Karla@dhbw.vgl;L;ledig;0;0;N
K00396;Musterfrau 40;Christian;Egon;04.11.1971;Dortmund;Kreuzweg;39;63504;Mittelstadt;06355/97107;06364/41586;0175/579396;06355/32418;Musterfrau40@dhbw.tst;Christian@dhbw.vgl;G;eingetr. Partnerschaft;1;0;N
K00395;Mueller 40;Karl-Heinz;;25.10.1971;Berlin;Im Tal;67;63504;Mittelstadt;06355/58447;06364/81112;0175/579395;;Mueller40@dhbw.tst;Karl-Heinz@dhbw.vgl;P;ledig;0;0;N
K00394;Meier 40;Norbert;;15.10.1971;Kassel;Auf der Höhe;1;63504;Mittelstadt;06355/25256;;0175/579394;;Meier40@dhbw.tst;Norbert@dhbw.vgl;O;ledig;1;0;N
K00393;Meyer 40;Martina;;05.10.1971;Paris;Severinstr.;78;63503;Altstadt;06354/38793;;0175/579393;;Meyer40@dhbw.tst;Martina@dhbw.vgl;N;verheiratet;2;1;J
K00392;Maier 40;Andreas;;25.09.1971;Obersdorf;Kanzlerweg;87;63503;Altstadt;06354/59329;;0175/579392;;Maier40@dhbw.tst;Andreas@dhbw.vgl;M;verheiratet;5;4;N
K00391;Müller 40;Hugo;Maria;15.09.1971;Würzburg;Kreuzberger Str.;16;63503;Altstadt;06354/43190;;0175/579391;;Müller40@dhbw.tst;Hugo@dhbw.vgl;L;verheiratet;1;0;N
K00390;Dietrich 39;Jürgen;;05.09.1971;Stuttgart;Im Gewann;30;63502;Neustadt;06353/17215;;0175/579390;06353/49216;Dietrich39@dhbw.tst;Jürgen@dhbw.vgl;G;eingetr. Partnerschaft;0;0;N
K00389;Otto 39;Tom;;26.08.1971;Rostock;Berliner Strasse;64;63502;Neustadt;06353/16413;;0175/579389;;Otto39@dhbw.tst;Tom@dhbw.vgl;P;ledig;2;1;N
